id,restaurant_name,zip_code,yelp_id,phone,display_phone,address,city,state,country,rating,review_count,is_closed,latitude,longitude,imageUrl,yelp_url;
1,Barrio,44106,veXxt8rGY_RJPpA5QkHT9Q,12168623498,(216) 862-3498,2466 Fairmount Blvd,Cleveland Heights,OH,US,3.5,279,0,41.50063,-81.59215,https://s3-media2.fl.yelpcdn.com/bphoto/VdyhYPcfx5vZRGr3slLkBw/o.jpg,https://www.yelp.com/biz/barrio-cleveland-heights-2?adjust_creative=QLP3fjN-Nr88NGW9H40Xvw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QLP3fjN-Nr88NGW9H40Xvw;
2,Barrio,44113,OA5Li3ySzhrbG_WvD_QGYA,12169997714,(216) 999-7714,806 Literary Rd,Cleveland,OH,US,4,662,0,41.48209763,-81.68641663,https://s3-media2.fl.yelpcdn.com/bphoto/dqkhpuedV858NHoNsFNXvA/o.jpg,https://www.yelp.com/biz/barrio-cleveland?adjust_creative=QLP3fjN-Nr88NGW9H40Xvw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QLP3fjN-Nr88NGW9H40Xvw;
3,Barrio,44115,VH2BjFjc9usDquDgoHhptA,12168624652,(216) 862-4652,527 Prospect Ave,Cleveland,OH,US,4,732,0,41.49840583,-81.68932227,https://s3-media2.fl.yelpcdn.com/bphoto/OWhGeQlC7ZthFTXIbmMLOg/o.jpg,https://www.yelp.com/biz/barrio-cleveland-3?adjust_creative=QLP3fjN-Nr88NGW9H40Xvw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QLP3fjN-Nr88NGW9H40Xvw;
4,Barrio,44106,veXxt8rGY_RJPpA5QkHT9Q,12168623498,(216) 862-3498,2466 Fairmount Blvd,Cleveland Heights,OH,US,3.5,279,0,41.50063,-81.59215,https://s3-media2.fl.yelpcdn.com/bphoto/VdyhYPcfx5vZRGr3slLkBw/o.jpg,https://www.yelp.com/biz/barrio-cleveland-heights-2?adjust_creative=QLP3fjN-Nr88NGW9H40Xvw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QLP3fjN-Nr88NGW9H40Xvw;
5,Agave and Rye,44113,x2ddXmaDYhw8KUtAZ9JVoA,12168682899,(216) 868-2899,1352 W 6th St,Cleveland,OH,US,4,76,0,41.49931639,-81.6985091,https://s3-media1.fl.yelpcdn.com/bphoto/lBmOToOUaSsF2AWCal8KCg/o.jpg,https://www.yelp.com/biz/agave-and-rye-cleveland-cleveland?adjust_creative=QLP3fjN-Nr88NGW9H40Xvw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QLP3fjN-Nr88NGW9H40Xvw;
6,Cilantro Taqueria,44122,Rv-Gg0gqteFU3WEYjHvurg,12163313069,(216) 331-3069,2783 Euclid Hts Blvd,Cleveland,OH,US,4,162,0,41.5082566,-81.5807158,https://s3-media4.fl.yelpcdn.com/bphoto/dF9YWeq8Udc4avx386XARg/o.jpg,https://www.yelp.com/biz/cilantro-taqueria-cleveland-2?adjust_creative=QLP3fjN-Nr88NGW9H40Xvw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QLP3fjN-Nr88NGW9H40Xvw;
7,Momocho,44113,F2pfjAZ_3dMTGCKv6c5wOw,12166942122,(216) 694-2122,1835 Fulton Rd,Cleveland,OH,US,4,921,0,41.4840151,-81.7098131,https://s3-media1.fl.yelpcdn.com/bphoto/S_URwHs7Ss19vJarzNNQWg/o.jpg,https://www.yelp.com/biz/momocho-cleveland-2?adjust_creative=QLP3fjN-Nr88NGW9H40Xvw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QLP3fjN-Nr88NGW9H40Xvw;
8,Taco Tonto's,44107,WGkqfp1-3130v8xhCb3APg,12162214479,(216) 221-4479,13321 Madison Ave,Lakewood,OH,US,3.5,276,0,41.476841,-81.7824478,https://s3-media4.fl.yelpcdn.com/bphoto/CTnBLGX-8yvf-FbN8050LQ/o.jpg,https://www.yelp.com/biz/taco-tontos-lakewood?adjust_creative=QLP3fjN-Nr88NGW9H40Xvw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QLP3fjN-Nr88NGW9H40Xvw;
9,Taco Tonto's,44240,Iw9k29FJCZ0fC68oxK1NtA,13306770223,(330) 677-0223,123 Franklin Ave,Kent,OH,US,4,225,0,41.1533508,-81.3586273,https://s3-media1.fl.yelpcdn.com/bphoto/-iuxRs4egEPG2wB-HevNlQ/o.jpg,https://www.yelp.com/biz/taco-tontos-kent?adjust_creative=QLP3fjN-Nr88NGW9H40Xvw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QLP3fjN-Nr88NGW9H40Xvw;
10,El Carnicero,44107,qWi9dNGo9D9I4F9RANc-6g,12162263415,(216) 226-3415,16918 Detroit Ave,Lakewood,OH,US,4,402,0,41.485678,-81.815205,https://s3-media2.fl.yelpcdn.com/bphoto/KBEIu-uAfwbEjU9qkOIXlw/o.jpg,https://www.yelp.com/biz/el-carnicero-lakewood?adjust_creative=QLP3fjN-Nr88NGW9H40Xvw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QLP3fjN-Nr88NGW9H40Xvw;
11,Barocco,44107,le3JWiS5uZTkofP90Rm0pA,12162218127,(216) 221-8127,12906 Madison Ave,Lakewood,OH,US,4.5,813,0,41.4770749,-81.7783377,https://s3-media1.fl.yelpcdn.com/bphoto/lEdhGjBwtH_B3pZHVusMNA/o.jpg,https://www.yelp.com/biz/barroco-lakewood?adjust_creative=QLP3fjN-Nr88NGW9H40Xvw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QLP3fjN-Nr88NGW9H40Xvw;
12,Blue Habanero,44136,aDMPIHm840BTTPoMnTQSGw,14408791722,(440) 879-1722,18066 Royalton Rd,Strongsville,OH,US,3.5,45,0,41.31438721,-81.82826925,https://s3-media3.fl.yelpcdn.com/bphoto/fxbcoPLC9jdBmVC5QGpfYg/o.jpg,https://www.yelp.com/biz/blue-habanero-strongsville?adjust_creative=QLP3fjN-Nr88NGW9H40Xvw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QLP3fjN-Nr88NGW9H40Xvw;
